seed,obj_value
5,11309827953.73
6,7884613635.53
7,8660754068.45
8,11099486692.52
9,6084627626.9
10,11621479195.27
11,8167480928.32
12,9185522652.06
13,9042948126.22
14,10919252899.68
15,12202987353.18
16,6611823281.1
17,8487822286.66
18,11678285187.76
19,14321108752.38
20,14948427142.07
21,14614738089.89
22,9836732261.15
23,30502303.41
24,15309270432.84
25,11888183930.21
26,12370543557.29
27,11590315674.74
28,7207472750.61
29,12652282383.92
30,7555764335.71
31,11499363743.22
32,8584701255.9
33,11594327976.24
34,11202811402.5
35,10305870275.67
36,8611444966.91
37,11634957852.16
38,11675727833.92
39,10419295962.09
40,9577836624.55
41,10767867108.57
42,10595688084.05
43,8196515107.28
44,12990454078.15
45,11172437469.95
46,10591724622.42
47,11578547623.28
48,12901409067.97
49,11718294201.41
50,8639822806.86
51,10188906823.28
52,15422447563.46
53,14001827938.12
54,9043836219.54
55,13431756040.75
56,8950574451.95
57,11278585138.75
58,8787689228.41
59,9063111795.06
60,13462569322.64
61,10189832596.42
62,10249819772.3
63,10585617930.08
64,20166779609.96
65,8252096655.25
66,10272761606.63
67,15893266758.55
68,13334969414.08
69,7256095499.05
70,13315057067.11
71,9967712586.75
72,10811828689.42
73,9122811240.37
74,10679388120.8
75,13884617032.79
76,9931748700.55
77,12155746810.8
78,13656448706.71
79,8843733255.41
80,8493805717.53
81,8733580722.21
82,13106475336.66
83,14439379254.44
84,9597273492.09
85,12032406549.32
86,7740474702.94
87,11529551014.13
88,12056058048.02
89,10721299905.98
90,10777640597.53
91,14838122057.65
92,11661914680.92
93,9084051619.7
94,7995587882.95
95,6693631328.82
96,8978117285.93
97,10721665714.75
98,10292333368.61
99,14429403162.51
100,11052216721.41
